image_set_name,external_url_large,external_url_small,locale,abstract_sku,concrete_sku,product_image_set_key
default,/assets/images/22115z Stehpult lichtgrau,/assets/images/22115z Stehpult lichtgrau?$normal$,fr_FR,C2235,,
default,/assets/images/22115z Stehpult lichtgrau,/assets/images/22115z Stehpult lichtgrau?$normal$,fr_FR,,1001454,
default,/assets/images/22115z Stehpult lichtgrau,/assets/images/22115z Stehpult lichtgrau?$normal$,en_US,C2235,,
default,/assets/images/22115z Stehpult lichtgrau,/assets/images/22115z Stehpult lichtgrau?$normal$,en_US,,1001454,
default,/assets/images/00047883F-01,/assets/images/00047883F-01?$normal$,fr_FR,M1000785,,
default,/assets/images/00047883F-01,/assets/images/00047883F-01?$normal$,fr_FR,,212427,
default,/assets/images/00047883F-01,/assets/images/00047883F-01?$normal$,en_US,M1000785,,
default,/assets/images/00047883F-01,/assets/images/00047883F-01?$normal$,en_US,,212427,
default,/assets/images/AA00945514FF-01,/assets/images/AA00945514FF-01?$normal$,fr_FR,M1000785,,
default,/assets/images/AA00945514FF-01,/assets/images/AA00945514FF-01?$normal$,fr_FR,,212427,
default,/assets/images/AA00945514FF-01,/assets/images/AA00945514FF-01?$normal$,en_US,M1000785,,
default,/assets/images/AA00945514FF-01,/assets/images/AA00945514FF-01?$normal$,en_US,,212427,
default,/assets/images/AA00945512FF-01,/assets/images/AA00945512FF-01?$normal$,fr_FR,M1000785,,
default,/assets/images/AA00945512FF-01,/assets/images/AA00945512FF-01?$normal$,fr_FR,,212427,
default,/assets/images/AA00945512FF-01,/assets/images/AA00945512FF-01?$normal$,en_US,M1000785,,
default,/assets/images/AA00945512FF-01,/assets/images/AA00945512FF-01?$normal$,en_US,,212427,
default,/assets/images/AA00945513FF-01,/assets/images/AA00945513FF-01?$normal$,fr_FR,M1000785,,
default,/assets/images/AA00945513FF-01,/assets/images/AA00945513FF-01?$normal$,fr_FR,,212427,
default,/assets/images/AA00945513FF-01,/assets/images/AA00945513FF-01?$normal$,en_US,M1000785,,
default,/assets/images/AA00945513FF-01,/assets/images/AA00945513FF-01?$normal$,en_US,,212427,
default,/assets/images/AA00945515FF-01,/assets/images/AA00945515FF-01?$normal$,fr_FR,M1000785,,
default,/assets/images/AA00945515FF-01,/assets/images/AA00945515FF-01?$normal$,fr_FR,,212427,
default,/assets/images/AA00945515FF-01,/assets/images/AA00945515FF-01?$normal$,en_US,M1000785,,
default,/assets/images/AA00945515FF-01,/assets/images/AA00945515FF-01?$normal$,en_US,,212427,
default,/assets/images/AA00522202FF-01,/assets/images/AA00522202FF-01?$normal$,fr_FR,M1000786,,
default,/assets/images/AA00522202FF-01,/assets/images/AA00522202FF-01?$normal$,fr_FR,,212440,
default,/assets/images/AA00522202FF-01,/assets/images/AA00522202FF-01?$normal$,en_US,M1000786,,
default,/assets/images/AA00522202FF-01,/assets/images/AA00522202FF-01?$normal$,en_US,,212440,
default,/assets/images/00052619-01,/assets/images/00052619-01?$normal$,fr_FR,M1000786,,
default,/assets/images/00052619-01,/assets/images/00052619-01?$normal$,fr_FR,,212440,
default,/assets/images/00052619-01,/assets/images/00052619-01?$normal$,en_US,M1000786,,
default,/assets/images/00052619-01,/assets/images/00052619-01?$normal$,en_US,,212440,
default,/assets/images/00048295-01,/assets/images/00048295-01?$normal$,fr_FR,M1000838,,
default,/assets/images/00048295-01,/assets/images/00048295-01?$normal$,fr_FR,,212442,
default,/assets/images/00048295-01,/assets/images/00048295-01?$normal$,en_US,M1000838,,
default,/assets/images/00048295-01,/assets/images/00048295-01?$normal$,en_US,,212442,
default,/assets/images/AA00522206FF-01,/assets/images/AA00522206FF-01?$normal$,fr_FR,M1000838,,
default,/assets/images/AA00522206FF-01,/assets/images/AA00522206FF-01?$normal$,fr_FR,,212442,
default,/assets/images/AA00522206FF-01,/assets/images/AA00522206FF-01?$normal$,en_US,M1000838,,
default,/assets/images/AA00522206FF-01,/assets/images/AA00522206FF-01?$normal$,en_US,,212442,
default,/assets/images/00031340-01,/assets/images/00031340-01?$normal$,fr_FR,M1000838,,
default,/assets/images/00031340-01,/assets/images/00031340-01?$normal$,fr_FR,,212442,
default,/assets/images/00031340-01,/assets/images/00031340-01?$normal$,en_US,M1000838,,
default,/assets/images/00031340-01,/assets/images/00031340-01?$normal$,en_US,,212442,
default,/assets/images/00048296-01,/assets/images/00048296-01?$normal$,fr_FR,M1000839,,
default,/assets/images/00048296-01,/assets/images/00048296-01?$normal$,fr_FR,,212444,
default,/assets/images/00048296-01,/assets/images/00048296-01?$normal$,en_US,M1000839,,
default,/assets/images/00048296-01,/assets/images/00048296-01?$normal$,en_US,,212444,
default,/assets/images/AA00522209FF-01,/assets/images/AA00522209FF-01?$normal$,fr_FR,M1000839,,
default,/assets/images/AA00522209FF-01,/assets/images/AA00522209FF-01?$normal$,fr_FR,,212444,
default,/assets/images/AA00522209FF-01,/assets/images/AA00522209FF-01?$normal$,en_US,M1000839,,
default,/assets/images/AA00522209FF-01,/assets/images/AA00522209FF-01?$normal$,en_US,,212444,
default,/assets/images/00031340-01,/assets/images/00031340-01?$normal$,fr_FR,M1000839,,
default,/assets/images/00031340-01,/assets/images/00031340-01?$normal$,fr_FR,,212444,
default,/assets/images/00031340-01,/assets/images/00031340-01?$normal$,en_US,M1000839,,
default,/assets/images/00031340-01,/assets/images/00031340-01?$normal$,en_US,,212444,
default,/assets/images/00048297-01,/assets/images/00048297-01?$normal$,fr_FR,M1000840,,
default,/assets/images/00048297-01,/assets/images/00048297-01?$normal$,fr_FR,,212447,
default,/assets/images/00048297-01,/assets/images/00048297-01?$normal$,en_US,M1000840,,
default,/assets/images/00048297-01,/assets/images/00048297-01?$normal$,en_US,,212447,
default,/assets/images/AA00522213FF-01,/assets/images/AA00522213FF-01?$normal$,fr_FR,M1000840,,
default,/assets/images/AA00522213FF-01,/assets/images/AA00522213FF-01?$normal$,fr_FR,,212447,
default,/assets/images/AA00522213FF-01,/assets/images/AA00522213FF-01?$normal$,en_US,M1000840,,
default,/assets/images/AA00522213FF-01,/assets/images/AA00522213FF-01?$normal$,en_US,,212447,
default,/assets/images/00031340-01,/assets/images/00031340-01?$normal$,fr_FR,M1000840,,
default,/assets/images/00031340-01,/assets/images/00031340-01?$normal$,fr_FR,,212447,
default,/assets/images/00031340-01,/assets/images/00031340-01?$normal$,en_US,M1000840,,
default,/assets/images/00031340-01,/assets/images/00031340-01?$normal$,en_US,,212447,
default,/assets/images/G00047132-01,/assets/images/G00047132-01?$normal$,fr_FR,M1002203,,
default,/assets/images/G00047132-01,/assets/images/G00047132-01?$normal$,fr_FR,,463981,
default,/assets/images/G00047132-01,/assets/images/G00047132-01?$normal$,en_US,M1002203,,
default,/assets/images/G00047132-01,/assets/images/G00047132-01?$normal$,en_US,,463981,
default,/assets/images/G00047133-01,/assets/images/G00047133-01?$normal$,fr_FR,M1002203,,
default,/assets/images/G00047133-01,/assets/images/G00047133-01?$normal$,fr_FR,,463981,
default,/assets/images/G00047133-01,/assets/images/G00047133-01?$normal$,en_US,M1002203,,
default,/assets/images/G00047133-01,/assets/images/G00047133-01?$normal$,en_US,,463981,
default,/assets/images/G00047133-02,/assets/images/G00047133-02?$normal$,fr_FR,M1002203,,
default,/assets/images/G00047133-02,/assets/images/G00047133-02?$normal$,fr_FR,,463981,
default,/assets/images/G00047133-02,/assets/images/G00047133-02?$normal$,en_US,M1002203,,
default,/assets/images/G00047133-02,/assets/images/G00047133-02?$normal$,en_US,,463981,
default,/assets/images/AA00522204FF-01,/assets/images/AA00522204FF-01?$normal$,fr_FR,M1006484,,
default,/assets/images/AA00522204FF-01,/assets/images/AA00522204FF-01?$normal$,fr_FR,,212837,
default,/assets/images/AA00522204FF-01,/assets/images/AA00522204FF-01?$normal$,en_US,M1006484,,
default,/assets/images/AA00522204FF-01,/assets/images/AA00522204FF-01?$normal$,en_US,,212837,
default,/assets/images/00052620-01,/assets/images/00052620-01?$normal$,fr_FR,M1006484,,
default,/assets/images/00052620-01,/assets/images/00052620-01?$normal$,fr_FR,,212837,
default,/assets/images/00052620-01,/assets/images/00052620-01?$normal$,en_US,M1006484,,
default,/assets/images/00052620-01,/assets/images/00052620-01?$normal$,en_US,,212837,
default,/assets/images/00048848-01,/assets/images/00048848-01?$normal$,fr_FR,M1006811,,
default,/assets/images/00048848-01,/assets/images/00048848-01?$normal$,fr_FR,,213103,
default,/assets/images/00048848-01,/assets/images/00048848-01?$normal$,en_US,M1006811,,
default,/assets/images/00048848-01,/assets/images/00048848-01?$normal$,en_US,,213103,
default,/assets/images/AA00746824FF-01,/assets/images/AA00746824FF-01?$normal$,fr_FR,M1006811,,
default,/assets/images/AA00746824FF-01,/assets/images/AA00746824FF-01?$normal$,fr_FR,,213103,
default,/assets/images/AA00746824FF-01,/assets/images/AA00746824FF-01?$normal$,en_US,M1006811,,
default,/assets/images/AA00746824FF-01,/assets/images/AA00746824FF-01?$normal$,en_US,,213103,
default,/assets/images/AA00746823FF-01,/assets/images/AA00746823FF-01?$normal$,fr_FR,M1006811,,
default,/assets/images/AA00746823FF-01,/assets/images/AA00746823FF-01?$normal$,fr_FR,,213103,
default,/assets/images/AA00746823FF-01,/assets/images/AA00746823FF-01?$normal$,en_US,M1006811,,
default,/assets/images/AA00746823FF-01,/assets/images/AA00746823FF-01?$normal$,en_US,,213103,
default,/assets/images/AA00746826FF-01,/assets/images/AA00746826FF-01?$normal$,fr_FR,M1006811,,
