key,translation,locale
page.checkout.shipment.shipping_method_heading,Shipping Method,en_US
page.checkout.shipment.shipment_group_heading,Lieferung %current% von %total%,fr_FR
page.checkout.shipment.shipment_group_heading,Shipment %current% of %total%,en_US
shipment.standart.name,Standard,fr_FR
shipment.standart.name,Standard,en_US
shipment.express.name,Express,fr_FR
shipment.express.name,Express,en_US
shipment.standart.description,2-4 Werktage,fr_FR
shipment.standart.description,2-4 working days,en_US
page.checkout.shipping.delivery_time,Lieferzeit:,fr_FR
page.checkout.shipping.delivery_time,Delivery time:,en_US
page.checkout.shipping.day,day,en_US
page.checkout.shipping.day,Tag,fr_FR
page.checkout.shipping.days,days,en_US
page.checkout.shipping.days,Tage,fr_FR
page.checkout.shipping.price,Preis:,fr_FR
page.checkout.shipping.price,Price:,en_US
shipment.express.description,innerhalb von 24-48 Stunden (Werktage),fr_FR
shipment.express.description,24-48 hours (working days),en_US
page.checkout.shipment.edit,Lieferart bearbeiten,fr_FR
page.checkout.shipment.edit,edit Shipment Method,en_US
page.checkout.shipment.next-step,Weiter - Zahlungsart wählen,fr_FR
page.checkout.shipment.next-step,Continue to Payment Method,en_US
page.checkout.shipment.item.quantity,Amount,fr_FR
page.checkout.shipment.item.quantity,Amount,en_US
page.checkout.shipment.item.price,Price,fr_FR
page.checkout.shipment.item.price,Price,en_US
page.checkout.shipment.shipping_address.title,Delivery address,fr_FR
page.checkout.shipment.shipping_address.title,Delivery address,en_US
page.checkout.shipment.requested_delivery_date.label,Requested delivery date,fr_FR
page.checkout.shipment.requested_delivery_date.label,Requested delivery date,en_US
page.checkout.shipment.requested_delivery_date.placeholder,Leave it empty if you want it ASAP,fr_FR
page.checkout.shipment.requested_delivery_date.placeholder,Leave it empty if you want it ASAP,en_US
page.checkout.shipment.requested_delivery_date.title,When do you want to be delivered?,fr_FR
page.checkout.shipment.requested_delivery_date.title,When do you want to be delivered?,en_US
page.checkout.shipping.delivery_time,Delivery time,fr_FR
page.checkout.shipping.delivery_time,Delivery time,en_US
page.checkout.payment.heading,3. Zahlungsart wählen,fr_FR
page.checkout.payment.heading,3. Payment Method,en_US
page.checkout.payment.title,Zahlungsart,fr_FR
page.checkout.payment.title,Payment method,en_US
page.checkout.payment.edit,Zahlungsart bearbeiten,fr_FR
page.checkout.payment.edit,edit Payment Method,en_US
page.checkout.payment.next-step,Weiter - Prüfen und Kauf abschließen,fr_FR
page.checkout.payment.next-step,Continue to finalise order,en_US
page.checkout.summary.billing,Rechnungsadresse,fr_FR
page.checkout.summary.billing,Invoice Address,en_US
page.checkout.summary.shipping,Lieferadresse,fr_FR
page.checkout.summary.shipping,Shipping Address,en_US
page.checkout.summary.date_of_birth,Date of Birth,en_US
page.checkout.summary.date_of_birth,Geburtsdatum,fr_FR
page.checkout.summary.card_type,Card Type,en_US
page.checkout.summary.card_type,Kartentyp,fr_FR
page.checkout.summary.card_number,Card Number,en_US
page.checkout.summary.card_number,Nummer,fr_FR
page.checkout.summary.name_on_card,Name on the Card,en_US
page.checkout.summary.name_on_card,Name auf der Karte,fr_FR
page.checkout.summary.card_expires,Expiry Date,en_US
page.checkout.summary.card_expires,Gültig bis,fr_FR
page.checkout.summary.complete_checkout,Complete checkout,en_US
page.checkout.summary.complete_checkout,Gesamtsumme,fr_FR
page.checkout.summary.accept_terms_and_conditions,I accept the terms and conditions,en_US
page.checkout.summary.accept_terms_and_conditions,Ich akzeptiere die allgemeinen Geschäftsbedingungen,fr_FR
page.checkout.finalize.heading,4. Prüfen und Kauf abschließen,fr_FR
page.checkout.finalize.heading,4. Check and finalise order,en_US
shipment.international.parcel.service,International Parcel Services,fr_FR
shipment.international.parcel.service,International Parcel Services,en_US
page.checkout.terms,Ich akzeptiere die AGBs.,fr_FR
page.checkout.terms,I accept the general terms and conditions.,en_US
page.checkout.finalize.enter-voucher,Gutscheincode eingeben,fr_FR
page.checkout.finalize.enter-voucher,Enter voucher code,en_US
page.checkout.finalize.tos,Mit dem Klick auf die Schaltfläche „Jetzt kaufen“ bestätige ich die ABG von Spryker Toys,fr_FR
page.checkout.finalize.tos,"With a click to the button ""Buy now"" I confirm the GTCs.",en_US
page.checkout.finalize.buy-now,Jetzt kaufen,fr_FR
page.checkout.finalize.buy-now,Buy now,en_US
page.detail.add-to-cart,In den Warenkorb,fr_FR
page.detail.add-to-cart,Add to Cart,en_US
page.detail.dimensions,Abmessungen,fr_FR
page.detail.dimensions,Measurements,en_US
page.product.by,von,fr_FR
page.product.by,by,en_US
page.product.details,Details,fr_FR
page.product.details,Details,en_US
page.imprint.url,/de/impressum,fr_FR
page.imprint.url,/en/imprint,en_US
page.imprint.title,Impressum,fr_FR
page.imprint.title,Imprint,en_US
page.terms.url,/de/agb,fr_FR
page.terms.url,/en/gtc,en_US
page.terms.title,AGB,fr_FR
page.terms.title,GTC,en_US
page.privacy.url,/de/datenschutz,fr_FR
page.privacy.url,/en/privacy,en_US
page.privacy.title,Datenschutz,fr_FR
page.privacy.title,Data privacy,en_US
catalog.currency,€,fr_FR
catalog.currency,€,en_US
catalog.filter.button,Filter,fr_FR
catalog.filter.button,Filter,en_US
catalog.filter.and.sorting.button,Filter / Sortierung,fr_FR
catalog.filter.and.sorting.button,Filter / Sorting,en_US
catalog.filter.active,Aktive Filter,fr_FR
catalog.filter.active,Active Filter,en_US
catalog.filter.main_color,Farbe,fr_FR
catalog.filter.main_color,Color,en_US
catalog.filter.extras,Sonstige Merkmale,fr_FR
catalog.filter.extras,Other characteristics,en_US
catalog.filter.pricerangeFrom,von,fr_FR
catalog.filter.pricerangeFrom,from,en_US
catalog.filter.pricerangeTo,bis,fr_FR
catalog.filter.pricerangeTo,to,en_US
catalog.filter.rangeFrom,Skala von,fr_FR
catalog.filter.rangeFrom,Range of,en_US
catalog.filter.rangeTo,bis,fr_FR
catalog.filter.rangeTo,to,en_US
catalog.filter.show,Filter einblenden,fr_FR
catalog.filter.show,insert filter,en_US
catalog.filter.hide,Filter ausblenden,fr_FR
catalog.filter.hide,hide filter,en_US
catalog.filter.per,Pro Seite,fr_FR
catalog.filter.per,Per Page,en_US
catalog.filter.sort,Sortieren nach,fr_FR
catalog.filter.sort,Sort by,en_US
catalog.filter.rating_up,& Up,en_US
catalog.filter.rating_up,& mehr,fr_FR
catalog.filter.active_rating_up,Stars & Up,en_US
catalog.filter.active_rating_up,Sterne & mehr,fr_FR
catalog.itemsFound,Artikel gefunden,fr_FR
catalog.itemsFound,Items found,en_US
catalog.loading,Loading,fr_FR
catalog.loading,Loading,en_US
catalog.next,weiter,fr_FR
catalog.next,continue,en_US
catalog.prev,zurück,fr_FR
catalog.prev,back,en_US
catalog.sort,Sortierung,fr_FR
catalog.sort,Sorting,en_US
catalog.sort.relevance,Nach Relevanz sortieren,fr_FR
catalog.sort.relevance,Sort by relevance,en_US
catalog.sort.name_asc,Nach Name aufsteigend sortieren,fr_FR
catalog.sort.name_asc,Sort by name ascending,en_US
catalog.sort.name_desc,Nach Name absteigend sortieren,fr_FR
catalog.sort.name_desc,Sort by name descending,en_US
catalog.sort.price_asc,Nach Preis aufsteigend sortieren,fr_FR
catalog.sort.price_asc,Sort by price ascending,en_US
catalog.sort.price_desc,Nach Preis absteigend sortieren,fr_FR
catalog.sort.price_desc,Sort by price descending,en_US
catalog.sort.rating,Sort by product ratings,en_US
catalog.sort.rating,Nach Produktbewertungen sortieren,fr_FR
catalog.filter.activeFilters,Aktive Filter,fr_FR
catalog.filter.activeFilters,Active filters,en_US
catalog.filter.resetAllFilters,Alle Filter zurücksetzen,fr_FR
catalog.filter.resetAllFilters,Reset all filters,en_US
catalog.no-results,No results.,en_US
catalog.no-results,Keine Ergebnisse.,fr_FR
product.filter.category,Kategorien,fr_FR
product.filter.category,Categories,en_US
product.filter.price,Preisspanne,fr_FR
product.filter.price,Price range,en_US
product.filter.rating,Product Ratings,en_US
product.filter.rating,Produktbewertungen,fr_FR
shipment.dhl,DHL,fr_FR
shipment.dhl,DHL,en_US
shipment.dhl.paket.name,Paket,fr_FR
shipment.dhl.paket.name,Package,en_US
shipment.dhl.paket.description,"DHL Paket is the easy, affordable, fast and reliable shipping service to over 220 countries around the world.",fr_FR
shipment.dhl.paket.description,"DHL Paket is the easy, affordable, fast and reliable shipping service to over 220 countries around the world.",en_US
shipment.dhl.express.name,Express,fr_FR
shipment.dhl.express.name,Express,en_US
shipment.dhl.express.description,"Our force of 100,000 engaged employees is working worldwide. Local know-how and our unique network make us your International Specialists.",fr_FR
shipment.dhl.express.description,"Our force of 100,000 engaged employees is working worldwide. Local know-how and our unique network make us your International Specialists.",en_US
shipment.dpd,DPD,fr_FR
shipment.dpd,DPD,en_US
shipment.hermes,Hermes,fr_FR
shipment.hermes,Hermes,en_US
customer.first_name,Vorname,fr_FR
customer.first_name,First Name,en_US
customer.last_name,Name,fr_FR
customer.last_name,Name,en_US
customer.salutation.mr,Herr,fr_FR
customer.salutation.mr,Mr.,en_US
customer.salutation.mrs,Frau,fr_FR
customer.salutation.mrs,Mrs.,en_US
customer.salutation.ms,Frau,fr_FR
customer.salutation.ms,Ms.,en_US
customer.salutation.dr,Dr.,en_US
customer.salutation.dr,Dr.,fr_FR
customer.birth_date,Geburtsdatum (TT.MM.YYYY),fr_FR
customer.birth_date,Date of birth (DD.MM.YYYY),en_US
customer.email,E-Mail Adresse,fr_FR
customer.email,E-Mail,en_US
customer.phone,Telefonnummer,fr_FR
customer.phone,Telephone number,en_US
customer.reset.password.error.already.loggedIn,"Kunde bereits eingeloggt. Bitte ausloggen, um das Passwort zurückzusetzen.",fr_FR
customer.reset.password.error.already.loggedIn,Another customer already logged in. Please logout to reset your password.,en_US
payment.prepay,Vorkasse,fr_FR
payment.prepay,Prepayment,en_US
payment.paypal,PayPal,fr_FR
payment.paypal,PayPal,en_US
payment.creditcard,Kreditkarte,fr_FR
payment.creditcard,Credit card,en_US
payment.invoice,Rechnung,fr_FR
payment.invoice,Invoice,en_US
payment.cancellation.title,Bezahlvorgang abgebrochen,fr_FR
payment.cancellation.title,Payment cancellation,en_US
payment.cancellation.message,Du hast den Bezahlvorgang abgebrochen.,fr_FR
payment.cancellation.message,You have cancelled your payment.,en_US
address.street,Straße,fr_FR
address.street,Street,en_US
address.street_nr,Nummer,fr_FR
address.street_nr,Number,en_US
address.city,Stadt,fr_FR
address.city,City,en_US
address.zip_code,PLZ,fr_FR
address.zip_code,Zip code,en_US
page.checkout.create_account,Kundenaccout erstellen,fr_FR
page.checkout.create_account,Create customer account,en_US
whishlist.whishlist,Wunschliste,fr_FR
whishlist.whishlist,Whishlist,en_US
whishlist.remove,Löschen,fr_FR
whishlist.remove,Remove,en_US
whishlist.reduce,Reduzieren,fr_FR
whishlist.reduce,Reduce,en_US
whishlist.increase,Erhöhen,fr_FR
whishlist.increase,Increase,en_US
whishlist.move.to.cart,Zum Warenkorb hinzufügen,fr_FR
whishlist.move.to.cart,Move to cart,en_US
checkout.thank.you,Vielen Dank,fr_FR
checkout.thank.you,Thank you,en_US
checkout.this.is.demoshop,Das ist ein Demoshop,fr_FR
checkout.this.is.demoshop,This is a demoshop,en_US
checkout.nothing.will.be.sent,Selbstverständlich wird Ihnen nichts zugesendet!,fr_FR
checkout.nothing.will.be.sent,"Therefore, of course, nothing will be sent!",en_US
global.order.ascendent,A-Z,fr_FR
global.order.ascendent,A-Z,en_US
global.show_more,Zeig Mehr,fr_FR
global.show_more,Show More,en_US
global.account,Konto,fr_FR
global.account,Account,en_US
global.order.descendent,Z_A,fr_FR
global.order.descendent,Z-A,en_US
global.close,Schließen,fr_FR
global.close,Close,en_US
global.search,Suche,fr_FR
global.search,Search,en_US
global.search.results,Ergebnisse für,fr_FR
global.search.results,Results for,en_US
global.search.spellingSuggestion,Meinten Sie,fr_FR
global.search.spellingSuggestion,Did you mean,en_US
global.search.suggestions,Suchvorschläge,fr_FR
global.search.suggestions,Search suggestions,en_US
global.search.suggestion.in_products,Produkte,fr_FR
global.search.suggestion.in_products,Products,en_US
global.search.suggestion.in_categories,Kategorien,fr_FR
global.search.suggestion.in_categories,Categories,en_US
global.search.suggestion.in_cms,Seiten,fr_FR
global.search.suggestion.in_cms,Pages,en_US
global.search.suggestion.no_result,Nichts gefunden...,fr_FR
global.search.suggestion.no_result,Nothing found...,en_US
global.search.suggestion.see_all_products,Alle Produkte anzeigen,fr_FR
global.search.suggestion.see_all_products,See all products,en_US
global.benefit.free_returns,Kostenlose Rückgabe,fr_FR
global.benefit.free_returns,Free Returns,en_US
global.benefit.warranty,3 Jahre Garantie,fr_FR
global.benefit.warranty,3 Years Warranty,en_US
global.benefit.competitive_prices,Günstige Preise,fr_FR
global.benefit.competitive_prices,Competitive Prices,en_US
global.spryker.shop,Spryker Shop,fr_FR
global.spryker.shop,Spryker Shop,en_US
global.spryker.motto,Qualitäts-Technologie,fr_FR
global.spryker.motto,technology with quality,en_US
global.payment_providers,Zahlungsanbieter,fr_FR
global.payment_providers,Payment providers,en_US
global.shipment_providers,Lieferanbieter,fr_FR
global.shipment_providers,Shipment providers,en_US
global.get_in_touch,Jetzt Kontakt aufnehmen,fr_FR
global.get_in_touch,Get in touch,en_US
global.social,Netzwerke,fr_FR
global.social,Social,en_US
global.home,Startseite,fr_FR
global.home,Home,en_US
global.email.address,E-Mail Adresse,fr_FR
global.email.address,Email Address,en_US
global.password,Passwort,fr_FR
global.password,Password,en_US
global.permission.failed,Diese Aktion ist nicht erlaubt,fr_FR
global.permission.failed,This action is forbidden,en_US
global.recover.password,Passwort vergessen,fr_FR
global.recover.password,Recover Password,en_US
global.accept.terms.and.conditions,Ich bestätige die AGB,fr_FR
global.accept.terms.and.conditions,Accept Terms and Conditions,en_US
global.login,Anmelden,fr_FR
global.login,Login,en_US
global.create.account,Account erstellen,fr_FR
global.create.account,Create Account,en_US
global.cart,Warenkorb,fr_FR
global.cart,Cart,en_US
global.my-cart,Warenkorb,fr_FR
global.my-cart,My Cart,en_US
global.no_image_available,Kein Bild verfügbar,fr_FR
global.no_image_available,No image available,en_US
global.add-to-cart,In den Warenkorb,fr_FR
global.add-to-cart,Add to Cart,en_US
global.subscribe.title,Unser Newsletter abonnieren,fr_FR
global.subscribe.title,Sign up to our Newsletter,en_US
global.payment_shipping,Bezahlung und Versand,fr_FR
global.payment_shipping,Payment and Shipping,en_US
global.top_categories,Top-Kategorien,fr_FR
global.top_categories,Top categories,en_US
global.popular_brands,Beliebte Brands,fr_FR
global.popular_brands,Popular Brands,en_US
global.about,Über uns,fr_FR
global.about,About,en_US
global.contact_us,Kontakt,fr_FR
global.contact_us,Contact Us,en_US
global.hint,"Alle Preise zzgl. Versandkosten, wenn nicht anders beschrieben.",fr_FR
global.hint,"All prices excl. shipping and handling fees, unless otherwise stated.",en_US
global.thank_certeo,"Ein großes Dankeschön an unsere Freunde von Certeo.",fr_FR
global.thank_certeo,"A big thank you to our friends from Certeo.",en_US
global.privacy_nav.imprint,Impressum,fr_FR
global.privacy_nav.imprint,Imprint,en_US
global.privacy_nav.imprint_url,"https://spryker.com/imprint/?lang=de",fr_FR
global.privacy_nav.imprint_url,"https://spryker.com/imprint/",en_US
global.privacy_nav.data_privacy,Datenschutz,fr_FR
global.privacy_nav.data_privacy,Data privacy,en_US
global.privacy_nav.data_privacy_url,"https://spryker.com/privacy-policy/?lang=de",fr_FR
global.privacy_nav.data_privacy_url,"https://spryker.com/privacy-policy/",en_US
global.build_with,Erstellt mit,fr_FR
global.build_with,Build with,en_US
global.build_with.link,https://spryker.com/?lang=de,fr_FR
global.build_with.link,https://spryker.com/,en_US
global.phone.number,+49 (0) 30 208 498 350,en_US
global.phone.number,+49 (0) 30 208 498 350,fr_FR
global.email.text,info@spryker.com,en_US
global.email.text,info@spryker.com,fr_FR
global.select.placeholder.value,Select a value,en_US
global.select.placeholder.value,Wähle einen wert,fr_FR
error.404,Error 404,fr_FR
error.404,Error 404,en_US
homepage.carousel.previous,Zurück,fr_FR
homepage.carousel.previous,Previous,en_US
homepage.carousel.next,Vore,fr_FR
homepage.carousel.next,Next,en_US
customer.signup,New customer?,en_US
customer.signup,Neuer Kunde?,fr_FR
customer.signin,Signin,en_US
customer.signin,Anmelden,fr_FR
customer.logout,Logout,en_US
customer.logout,Abmelden,fr_FR
customer.register,Register,en_US
customer.register,Registrieren,fr_FR
customer.login,Login,en_US
customer.login,Anmelden,fr_FR
customer.please_login,Please Login,en_US
customer.please_login,Bitte anmelden,fr_FR
customer.login.email,Email,en_US
customer.login.email,E-Mail,fr_FR
customer.login.password,Password,en_US
customer.login.password,Passwort,fr_FR
customer.login.title,Access your account,en_US
customer.login.title,Ich bin bereits Kunde,fr_FR
customer.registration.title,Create account,en_US
customer.registration.title,Ich bin Neukunde,fr_FR
customer.account.no_order,No orders at the moment,en_US
customer.account.no_order,Keine Bestellungen,fr_FR
customer.account,Customer Account,en_US
customer.account,Mein Konto,fr_FR
customer.account.contact,Contact,en_US
customer.account.contact,Kontakt,fr_FR
customer.account.overview,Overview,en_US
customer.account.overview,Übersicht,fr_FR
customer.account.profile_data,Profile,en_US
customer.account.profile_data,Benutzerdaten,fr_FR
customer.account.address,Addresses,en_US
customer.account.address,Adressen,fr_FR
customer.account.order_history,Order History,en_US
customer.account.order_history,Bestellungen,fr_FR
customer.account.button.search_filters,Search & Filters,en_US
customer.account.button.search_filters,Suche und Filter,fr_FR
customer.account.newsletter,Newsletter,en_US
customer.account.newsletter,Newsletter,fr_FR
customer.account.last_orders,Last Orders,en_US
customer.account.last_orders,Letzte Bestellungen,fr_FR
customer.account.default_billing_address,Default Billing Address,en_US
customer.account.default_billing_address,Standard Rechnungsadresse,fr_FR
customer.account.please_specify_billing_address,Please Specify Billing Address,en_US
customer.account.please_specify_billing_address,Bitte tragen Sie Ihre Rechnungsadresse ein.,fr_FR
customer.account.default_shipping_address,Default Shipping Address,en_US
customer.account.default_shipping_address,Standard Lieferadresse,fr_FR
customer.account.default_address,Address,en_US
customer.account.default_address,Adresse,fr_FR
customer.account.default_both_addresses,Default Address,en_US
customer.account.default_both_addresses,Standardadresse,fr_FR
customer.account.please_specify_shipping_address,Please Specify Shipping Address,en_US
customer.account.please_specify_shipping_address,Bitten tragen Sie Ihre Lieferadresse ein.,fr_FR
customer.account.edit_address_information,Edit Address Information,en_US
customer.account.edit_address_information,Ändern,fr_FR
customer.account.additional_addresses,Additional Addresses,en_US
customer.account.additional_addresses,Zusätzliche Adressen,fr_FR
customer.account.button.add_new_address,Add new address,en_US
customer.account.button.add_new_address,Neue adresse hinzufügen,fr_FR
customer.account.add_new_address,Define new address,en_US
customer.account.add_new_address,Definieren Sie eine neue Adresse,fr_FR
customer.account.deliver_to_multiple_addresses,Deliver to multiple addresses,en_US
customer.account.deliver_to_multiple_addresses,Deliver to multiple addresses,fr_FR
customer.account.delete.error,Account cannot be removed,en_US
customer.account.delete.error,Das Konto kann nicht entfernt werden,fr_FR
customer.newsletter.not_subscribed,No newsletter subscription,en_US
customer.newsletter.not_subscribed,Newsletter nicht abonniert.,fr_FR
customer.profile.order_history,Last Orders,en_US
customer.profile.order_history,Letzte Bestellungen,fr_FR
customer.account.no_orders,No orders at the moment,en_US
customer.account.no_orders,Keine Bestellungen,fr_FR
customer.address.updated,Address was successfully updated,en_US
customer.address.updated,Adresse wurde erfolgreich aktualisiert,fr_FR
customer.address.delete.success,Address deleted successfully,en_US
customer.address.delete.success,Adresse erfolgreich gelöscht,fr_FR
customer.address.added,Address was successfully added,en_US
customer.address.added,Adresse wurde erfolgreich hinzugefügt,fr_FR
customer.address.first_name,First Name,en_US
customer.address.first_name,Vorname,fr_FR
customer.address.last_name,Last Name,en_US
customer.address.last_name,Nachname,fr_FR
customer.address.company,Company,en_US
customer.address.company,Firma,fr_FR
customer.address.address1,Street,en_US
customer.address.address1,Straße,fr_FR
customer.address.address2,Number,en_US
customer.address.address2,Hausnummer,fr_FR
customer.address.address3,Addition to address,en_US
customer.address.address3,Adresszusatz,fr_FR
customer.address.zip_code,Zip Code,en_US
customer.address.zip_code,PLZ,fr_FR
customer.address.city,City,en_US
customer.address.city,Stadt,fr_FR
customer.address.country,Country,en_US
customer.address.country,Land,fr_FR
customer.address.phone,Phone,en_US
customer.address.phone,Telefon,fr_FR
customer.address.is_default_billing,Is default billing address,en_US
customer.address.is_default_billing,Standard Rechnungsadresse,fr_FR
customer.address.is_default_shipping,Is default shipping address,en_US
customer.address.is_default_shipping,Standard Lieferadresse,fr_FR
customer.anonymization.success,Your account has been deleted successfully,en_US
customer.anonymization.success,Ihr Account wurde gelöscht,fr_FR
customer.anonymization.failed,Your account could not be deleted,en_US
customer.anonymization.failed,Ihr Account konnte nicht gelöscht werden.,fr_FR
customer.authorization.success,"Almost there! We send you an email to validate your email address. Please confirm it to be able to log in.",en_US
customer.authorization.success,"Fast dort! Wir senden Ihnen eine E-Mail, um Ihre E-Mail-Adresse zu bestätigen. Bitte bestätigen Sie dies, um sich anmelden zu können.",fr_FR
customer.authorization.account_confirmed,"Your email address is validated. Please login to continue.",en_US
customer.authorization.account_confirmed,"Ihre E-Mail-Adresse wird bestätigt. Bitte einloggen zum Fortfahren.",fr_FR
customer.error.confirm_email_link.invalid_or_used,This email verification link is invalid or has been already used.,en_US
customer.error.confirm_email_link.invalid_or_used,Dieser E-Mail-Verifizierungslink ist ungültig oder wurde bereits verwendet.,fr_FR
